"BehaviorSpace results (NetLogo 6.2.0)"
"sir-dist.nlogo"
"variar DS"
"11/13/2025 19:02:48:688 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","POB","DS","TE","PC","WIG","S0","[step]","Emax","t-estrella"
"511","90","25","18","0.06","60","99","120","4483","40"
"516","90","25","18","0.06","60","99","111","4432","40"
"517","90","25","18","0.06","60","99","114","4563","41"
"513","90","25","18","0.06","60","99","125","4309","42"
"514","90","25","18","0.06","60","99","122","4430","40"
"518","90","25","18","0.06","60","99","122","4551","40"
"519","90","25","18","0.06","60","99","109","4206","40"
"520","90","25","18","0.06","60","99","120","4380","40"
"521","90","26","18","0.06","60","99","122","4162","40"
"523","90","26","18","0.06","60","99","112","4185","44"
"524","90","26","18","0.06","60","99","129","4415","40"
"522","90","26","18","0.06","60","99","120","4517","40"
"527","90","26","18","0.06","60","99","105","4404","41"
"525","90","26","18","0.06","60","99","110","4346","40"
"526","90","26","18","0.06","60","99","115","4447","39"
"529","90","26","18","0.06","60","99","123","4521","41"
"528","90","26","18","0.06","60","99","130","4387","38"
"531","90","26","18","0.06","60","99","105","4544","41"
"530","90","26","18","0.06","60","99","117","4203","40"
