"BehaviorSpace results (NetLogo 6.2.0)"
"sir-dist-dos.nlogo"
"variar DS dos"
"11/15/2025 09:04:40:424 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","199","0","199"
"[run number]","POB","DS","PC","TE","WIG","S0","[step]","Emax","t-estrella"
"455","90","45","0.09","30","15","99","291","2997","53"
"456","90","45","0.09","30","15","99","242","3160","54"
"460","90","45","0.09","30","15","99","186","2862","61"
"459","90","45","0.09","30","15","99","227","3316","50"
"458","90","45","0.09","30","15","99","263","3130","53"
"463","90","46","0.09","30","15","99","208","3710","51"
"461","90","46","0.09","30","15","99","217","3272","50"
"451","90","45","0.09","30","15","99","374","3299","49"
"462","90","46","0.09","30","15","99","251","3224","54"
"464","90","46","0.09","30","15","99","239","3886","49"
"466","90","46","0.09","30","15","99","231","3789","48"
"465","90","46","0.09","30","15","99","205","3347","52"
"469","90","46","0.09","30","15","99","219","3422","54"
"467","90","46","0.09","30","15","99","210","3383","53"
"468","90","46","0.09","30","15","99","259","3410","53"
"470","90","46","0.09","30","15","99","232","3820","51"
"474","90","47","0.09","30","15","99","199","3040","57"
"473","90","47","0.09","30","15","99","255","3444","52"
"478","90","47","0.09","30","15","99","194","3665","48"
"472","90","47","0.09","30","15","99","310","3595","51"
"480","90","47","0.09","30","15","99","195","3254","50"
"471","90","47","0.09","30","15","99","300","3252","53"
"479","90","47","0.09","30","15","99","282","3415","56"
"477","90","47","0.09","30","15","99","308","3253","51"
"481","90","48","0.09","30","15","99","205","3455","51"
"475","90","47","0.09","30","15","99","282","3129","50"
"483","90","48","0.09","30","15","99","239","3374","50"
"482","90","48","0.09","30","15","99","210","3557","55"
"484","90","48","0.09","30","15","99","228","3136","52"
"485","90","48","0.09","30","15","99","241","3378","50"
"476","90","47","0.09","30","15","99","375","3304","55"
"486","90","48","0.09","30","15","99","255","3304","48"
"487","90","48","0.09","30","15","99","232","3403","48"
"493","90","49","0.09","30","15","99","201","3214","53"
"490","90","48","0.09","30","15","99","193","3377","49"
"488","90","48","0.09","30","15","99","286","3035","56"
"491","90","49","0.09","30","15","99","248","3362","55"
"492","90","49","0.09","30","15","99","253","3074","54"
"494","90","49","0.09","30","15","99","193","3430","47"
"495","90","49","0.09","30","15","99","231","3340","52"
"489","90","48","0.09","30","15","99","301","3209","57"
"497","90","49","0.09","30","15","99","232","3312","54"
"498","90","49","0.09","30","15","99","221","3191","56"
"500","90","49","0.09","30","15","99","235","3302","49"
"496","90","49","0.09","30","15","99","276","3342","56"
"501","90","50","0.09","30","15","99","209","2775","49"
"504","90","50","0.09","30","15","99","229","3206","55"
"499","90","49","0.09","30","15","99","296","3316","51"
"506","90","50","0.09","30","15","99","219","3229","56"
"508","90","50","0.09","30","15","99","191","3481","53"
"505","90","50","0.09","30","15","99","237","3314","56"
"503","90","50","0.09","30","15","99","253","2984","58"
"511","90","51","0.09","30","15","99","200","3763","50"
"509","90","50","0.09","30","15","99","202","3431","50"
"512","90","51","0.09","30","15","99","199","3240","53"
"502","90","50","0.09","30","15","99","406","3454","46"
"507","90","50","0.09","30","15","99","277","3482","55"
"510","90","50","0.09","30","15","99","306","2963","55"
"517","90","51","0.09","30","15","99","226","3330","53"
"518","90","51","0.09","30","15","99","243","2999","59"
"514","90","51","0.09","30","15","99","297","3070","49"
"515","90","51","0.09","30","15","99","278","3203","54"
"519","90","51","0.09","30","15","99","264","3274","52"
"513","90","51","0.09","30","15","99","325","3001","53"
"516","90","51","0.09","30","15","99","236","3461","53"
"521","90","52","0.09","30","15","99","265","3176","51"
"524","90","52","0.09","30","15","99","212","3147","54"
"520","90","51","0.09","30","15","99","291","3362","51"
"522","90","52","0.09","30","15","99","244","3551","50"
"523","90","52","0.09","30","15","99","284","2911","50"
"526","90","52","0.09","30","15","99","256","3023","53"
"527","90","52","0.09","30","15","99","229","3053","55"
"525","90","52","0.09","30","15","99","288","2985","54"
"529","90","52","0.09","30","15","99","199","3283","52"
"528","90","52","0.09","30","15","99","236","3399","53"
"530","90","52","0.09","30","15","99","217","3722","50"
